Timestamp,B. Ed. Year,Teaching Subject/ Method,Type of Internship School,Awareness of different types of softwares [Proprietary Software],Awareness of different types of softwares [Free and Open-Source Software],Awareness of different types of softwares [Pirated Software],Awareness of different types of softwares [All of the above],Awareness  of various Free and Open-Source Software(FOSS) [Libre office],Awareness  of various Free and Open-Source Software(FOSS) [Open office],Awareness  of various Free and Open-Source Software(FOSS) [Mozilla Firefox],Awareness  of various Free and Open-Source Software(FOSS) [Chromium],Awareness  of various Free and Open-Source Software(FOSS) [GIMP],Awareness  of various Free and Open-Source Software(FOSS) [VLC media player],Awareness  of various Free and Open-Source Software(FOSS) [Ubuntu],Awareness  of various Free and Open-Source Software(FOSS) [Open Shot],Awareness  of various Free and Open-Source Software(FOSS) [Audacity],Awareness  of various Free and Open-Source Software(FOSS) [MyPaint],Awareness  of various Free and Open-Source Software(FOSS) [Tuxpaint],Awareness  of various Free and Open-Source Software(FOSS) [Geogebra],Awareness  of various Free and Open-Source Software(FOSS) [Cmap],Awareness  of various Free and Open-Source Software(FOSS) [MAHARA],Awareness  of various Free and Open-Source Software(FOSS) [Moodle],Awareness  of various Free and Open-Source Software(FOSS) [Classroom 2.0],Awareness  of various Free and Open-Source Software(FOSS) [Google Earth],Awareness  of various Free and Open-Source Software(FOSS) [RCampus],Perceived Usefulness: [FOSS helped me perform teaching tasks effectively],Perceived Usefulness: [FOSS is a good alternative to paid software],Perceived Usefulness: [FOSS improved my digital teaching skills],Perceived Ease of Use: [FOSS tools were easy to use],Perceived Ease of Use: [FOSS tools were easy to use during classroom teaching],Perceived Ease of Use: [FOSS tools were user-friendly],Application of FOSS: [I used FOSS to prepare teaching-learning materials],Application of FOSS: [I used FOSS for lesson planning and assessment],Application of FOSS: [I regularly used at least one FOSS tool during my internship],Behavioral Intention: [I intend to use FOSS in future teaching],Behavioral Intention: [I am interested in learning more about FOSS tools],Behavioral Intention: [I will recommend FOSS to other teachers],Challenges and Security [Lack of training limits my use of FOSS],Challenges and Security [Limited technical support affects my use of FOSS],Challenges and Security [I feel FOSS tools are safe and secure for teaching use]
3/14/2026 23:58:56,,Science,,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Easy,Agree,Agree,Agree,Likely,Likely,Likely,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/15/2026 7:21:41,,Science,,Aware,Aware,Aware,Aware,Not Aware,Partially Aware,Aware,Partially Aware,Not Aware,Aware,Partially Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Aware,Not Aware,Agree,Agree,Agree,Easy,Easy,Easy,Agree,Agree,Agree,Likely,Likely,Likely,Agree,Agree,Agree
3/15/2026 8:03:31,,Arts,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Difficult,Difficult,Disagree,Strongly disagree,Disagree,Unlikely,Very unlikely,Very unlikely,Strongly disagree,Disagree,Strongly disagree
3/15/2026 8:26:48,,Science,,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Difficult,Difficult,Difficult,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/15/2026 13:44:05,,Science,,Aware,Aware,Not Aware,Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Strongly agree,Agree,Easy,Easy,Easy,Agree,Agree,Agree,Very likely,Very likely,Very likely,Strongly agree,Strongly agree,Agree
3/18/2026 12:34:17,,Science,,Not Aware,Aware,Aware,Not Aware,Not Aware,Aware,Aware,Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Very difficult,Very difficult,Very difficult,Strongly disagree,Strongly disagree,Strongly disagree,Very unlikely,Very unlikely,Very unlikely,Strongly disagree,Strongly disagree,Strongly disagree
3/18/2026 12:34:31,,Arts,,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/18/2026 12:34:34,,Arts,,Partially Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Aware,Aware,Partially Aware,Aware,Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Easy,Easy,Easy,Agree,Agree,Neither agree nor disagree,Likely,Likely,Likely,Agree,Agree,Agree
3/18/2026 12:34:46,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Neither agree nor disagree,Agree,Neither difficult nor easy,Difficult,Neither difficult nor easy,Agree,Neither agree nor disagree,Strongly disagree,Neutral,Likely,Neutral,Agree,Agree,Neither agree nor disagre
3/18/2026 12:35:05,,Science,,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Not Aware,Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neutral,Very unlikely,Very unlikely,Strongly disagree,Neither agree nor disagre,Neither agree nor disagre
